h,t,g,P,rho,mu
-5000,537.51,32.189,2527.776,27.45,3.836
0,519.67,32.174,2116.224,23.77,3.737
5000,501.84,32.159,1760.832,20.48,3.637
10000,484.03,32.143,1455.552,17.56,3.534
15000,466.22,32.128,1194.768,14.96,3.43
20000,448.41,32.112,973.296,12.67,3.324
25000,430.62,32.097,786.384,10.66,3.217
30000,412.84,32.082,629.712,8.91,3.107
35000,395.06,32.066,499.392,7.38,2.995
40000,390.97,32.051,393.12,5.87,2.969
45000,390.97,32.036,309.456,4.62,2.969
50000,390.97,32.02,243.648,3.64,2.969
60000,390.97,31.99,151.056,2.26,2.969
70000,393.25,31.959,93.744,1.39,2.984
80000,398.69,31.929,58.464,0.86,3.018
90000,404.13,31.897,36.72,0.56,3.052
100000,409.57,31.868,23.328,0.33,3.087
150000,480.07,31.717,2.88,0.037,3.511
200000,440.89,31.566,0.432,0.0053,3.279
250000,371.9,31.415,0,0.00065,2.846
